CheckId@CheckName
0@assign_width_overflow
1@assign_width_underflow
2@bus_bits_not_read
3@implicit_wire
4@multiplication_operator
5@unconnected_inst_output
6@reserved_keyword
7@case_default_missing
8@latch_inferred
9@array_index_with_expr
10@for_stmt_with_complex_logic
11@assign_with_multi_arith_operations
12@if_else_nested_large
13@fsm_without_one_hot_encoding
14@if_stmt_with_arith_expr
15@always_signal_assign_large
16@parameter_name_duplicate
17@reset_set_non_const_assign
18@line_char_large
19@data_type_not_recommended
